Product Name,Type For,Image Name,Image Name,ActualName,BrandName,ProductDetails,Ingredients,ProductLink
African Pride Argan Miracle Moisture & Shine Leave-In Conditioner (15 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/o/201/african-pride-argan-leave-in-conditioner__70674.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/o/201/african-pride-argan-leave-in-conditioner__70674.jpg,Argan Miracle Moisture & Shine Leave-In Conditioner (15 oz.),African Pride,"<p><strong>A leave-in conditioner that moisturizes all day.</strong></p> <p><span>Moisture &amp; Shine Leave-In Conditioner has pure Moroccan argan oil to naturally protect your hair. Renew moisture and shine, strengthen and protect, all in one.</span></p>",,/african-pride-argan-miracle-moisture-shine-leave-in-conditioner-15-oz/
African Pride Argan Miracle Moisture & Shine Oil Treatment (4 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/j/215/african-pride-argan-oil-treatment__85102.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/j/215/african-pride-argan-oil-treatment__85102.jpg,Argan Miracle Moisture & Shine Oil Treatment (4 oz.),African Pride,"<p><strong>Give your hair the argan Miracle treatment</strong></p> <p><span>Condition and hydrate your hair and scalp. Our new Moisture &amp; Shine Oil Treatment is enriched with Moroccan argan oil to provide a healthy, radiant shine without build-up. Strengthen your hair and repair damage at the same time.</span></p>",,/african-pride-argan-miracle-moisture-shine-oil-treatment-4-oz/
African Pride Moisture Miracle Coconut Oil & Baobab Oil Leave – In Cream (15 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/z/070/african-pride-coconut-baobab-leave-in-cream-1__74101.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/z/070/african-pride-coconut-baobab-leave-in-cream-1__74101.jpg,Moisture Miracle Coconut Oil & Baobab Oil Leave – In Cream (15 oz.),African Pride,"<p><span>The African Pride Moisture Miracle Leave-In Cream is a deep penetrating leave-in conditioning cream uses a nourishing blend of Coconut Oil &amp; Baobab Oil to impart lasting moisture while helping to protect against breakage. Leaving coils and curls manageable, hydrated and strong.</span></p> <p>Key Ingredients:&nbsp;Coconut Oil &amp; Baobab Oil</p>",,/african-pride-moisture-miracle-coconut-oil-baobab-oil-leave-in-cream-15-oz/
African Pride Moisture Miracle Shea Butter & Flaxseed Oil Curling Cream (12 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/a/812/african-pride-shea-flaxseed-curling-cream__22956.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/a/812/african-pride-shea-flaxseed-curling-cream__22956.jpg,Moisture Miracle Shea Butter & Flaxseed Oil Curling Cream (12 oz.),African Pride,"<p><span>The African Pride Miracle Moisture&nbsp;</span>Shea Butter &amp; Flaxseed Oil Curling Cream is&nbsp;versatile curling cream blends Shea Butter and Flax Seed Oil to provide deep moisture, lasting definition, and radiant shine; leaving coily and curly styles smooth and bouncy with soft hold.</p> <p>Key Ingredients:&nbsp;<span>Shea Butter &amp; Flaxseed Oil</span></p>",,/african-pride-moisture-miracle-shea-butter-flaxseed-oil-curling-cream-12-oz/
African Pride Moisture Miracle Coconut Milk & Honey Leave – In Conditioner (8 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/m/325/african-pride-coconut-honey-leave-in-conditioner__40201.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/m/325/african-pride-coconut-honey-leave-in-conditioner__40201.jpg,Moisture Miracle Coconut Milk & Honey Leave – In Conditioner (8 oz.),African Pride,"<p>The African Pride Moisture MiracleCoconut Milk &amp; Honey Leave &ndash; In Conditioner is a lightweight blend of hydrating Coconut Milk &amp; African Honey replenishes moisture, adds shine and softens; leaving hair manageable and naturally defined.</p> <p>Key Ingredients:&nbsp;Coconut Milk &amp; Honey</p>",,/african-pride-moisture-miracle-coconut-milk-honey-leave-in-conditioner-8-oz/
African Pride Moisture Miracle  Moroccan Clay & Shea Butter Heat – Activated Masque (12 oz.),All,http://shop.naturallycurly.com/product_images/d/270/african-pride-moroccan-shea-masque__03733.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/d/270/african-pride-moroccan-shea-masque__03733.jpg,Moisture Miracle  Moroccan Clay & Shea Butter Heat – Activated Masque (12 oz.),African Pride,"<p><span>The African Pride Moisture Miracle &nbsp;Moroccan Clay &amp; Shea Butter Heat&ndash;Activated Masque&nbsp;uses the clarifying benefits of Moroccan Red Clay to remove impurities and product build-up from hair. Shea Butter replenishes moisture while strengthening the hair; leaving you with soft, hydrated, coils and curls.</span></p> <p>Key Ingredients:&nbsp;<span>Moroccan Clay &amp; Shea Butter</span></p>",,/african-pride-moisture-miracle-moroccan-clay-shea-butter-heat-activated-masque-12-oz/
African Pride Moisture Miracle Aloe & Coconut Water Pre-Shampoo (12 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/d/798/african-pride-aloe-coconut-pre-shampoo__58223.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/d/798/african-pride-aloe-coconut-pre-shampoo__58223.jpg,Moisture Miracle Aloe & Coconut Water Pre-Shampoo (12 oz.),African Pride,"<p>The&nbsp;African Pride Moisture Miracle Aloe &amp; Coconut Water Pre-Shampoo <span>uses the natural benefits of Aloe Vera and Coconut Water to condition, protect and remove tangles from natural coils and curls; leaving hair soft and easy to manage during cleansing and styling.</span></p> <p>Key Ingredients:&nbsp;<span>Aloe &amp; Coconut Water</span></p>",,/african-pride-moisture-miracle-aloe-coconut-water-pre-shampoo-12-oz/
African Pride Moisture Miracle Honey & Coconut Oil Shampoo (12 oz.),Coily,http://shop.naturallycurly.com/product_images/o/276/african-pride-honey-coconut-shampoo__63923.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/o/276/african-pride-honey-coconut-shampoo__63923.jpg,Moisture Miracle Honey & Coconut Oil Shampoo (12 oz.),African Pride,"<p>The African Pride Moisture Miracle Honey &amp; Coconut Oil Shampoo gently&nbsp;<span>removes dirt and buildup from hair without stripping hair of its natural oils; using a blend of Honey &amp; Coconut Oil to deeply penetrate and hydrate natural coils and curls, leaving the hair soft, nourished and with a natural shine.</span></p> <p>Key Ingredients:&nbsp;<span>Honey &amp; Coconut Oil</span></p>",,/african-pride-moisture-miracle-honey-coconut-oil-shampoo-12-oz/
"African Pride Moisture Miracle Honey, Chocolate & Coconut Oil Conditioner (12 oz.)",Curly,http://shop.naturallycurly.com/product_images/o/526/african-pride-honey-chocolate-coconut-conditioner__46185.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/o/526/african-pride-honey-chocolate-coconut-conditioner__46185.jpg,"Moisture Miracle Honey, Chocolate & Coconut Oil Conditioner (12 oz.)",African Pride,"<p>The&nbsp;African Pride Moisture Miracle Honey, Chocolate &amp; Coconut Oil Conditioner&nbsp;<span>uses the natural conditioning benefits of Honey and Coconut Oil, with the restorative benefits of Chocolate (Cacao) to transform dry coils and curls leaving them hydrated and nourished.</span></p> <p>Key Ingredients:&nbsp;<span>Honey, Chocolate &amp; Coconut Oil</span></p>",,/african-pride-moisture-miracle-honey-chocolate-coconut-oil-conditioner-12-oz/
African Pride Moisture Miracle Strengthen & Protect 5 Essential Oils (4 oz),All,http://shop.naturallycurly.com/product_images/v/942/african-pride-5-essential-oils__51731.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/v/942/african-pride-5-essential-oils__51731.jpg,Moisture Miracle Strengthen & Protect 5 Essential Oils (4 oz),African Pride,"<p>The&nbsp;African Pride Moisture Miracle Strengthen &amp; Protect 5 Essential Oils uses a nourishing blend of 5 essential oils and Vitamin E to replenish natural nutrients, help protect against breakage and promote natural growth; leaving coils and curls with body and shine.</p> <p>Key&nbsp;Ingredients:&nbsp;Castor, Grapeseed, Argan, Coconut &amp; Olive</p>",,/african-pride-moisture-miracle-strengthen-protect-5-essential-oils-4-oz/
African Pride Black Castor Miracle Braid & Scalp Cleansing Rinse (12 oz.),All,http://shop.naturallycurly.com/product_images/n/606/African_Pride_BCM_Hair_Rinse_12oz__31369.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/n/606/African_Pride_BCM_Hair_Rinse_12oz__31369.jpg,Black Castor Miracle Braid & Scalp Cleansing Rinse (12 oz.),African Pride,"<p><span>African Pride Black Castor Miracle products are designed to maintain &amp; detangle natural hair while moisturizing, hydrating, &amp; combating frizz. From protecting to sealing hair, our products were crafted with you in mind.</span>&nbsp;</p> <p><span>This <strong>Braid &amp; Scalp Cleansing Rinse</strong> gently cleanses and conditions hair, edges and scalp during braided styles and under weaves without causing frizz. Soothes scalp and calms itching; leaving hair refreshed and styles lasting longer. Great for braids, crochets, edges, under weave care and protective styles.&nbsp;</span></p> <p><span><span style=""text-decoration: underline;""><strong>Featured Ingredients:</strong></span>&nbsp;</span></p> <ul> <li><span><span>Black Castor Oil: Nourishes scalp &amp; helps to promote hair growth</span></span></li> <li><span><span>Micellar Water: Cleanses impurities without drying out hair &amp; scalp</span></span></li> <li><span><span>Coconut Oil: Conditions, hydrates &amp; helps repair</span></span></li> <li><span><span>Peppermint Oil: Soothes &amp; refreshes scalp</span></span></li> </ul>",,/african-pride-black-castor-miracle-braid-scalp-cleansing-rinse-12-oz/
African Pride Black Castor Miracle Anti-Humidity Heat Protectant Spray (4 oz.),Straight,http://shop.naturallycurly.com/product_images/q/487/African_Pride_BCM_Heat_Spray_4oz__21927.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/q/487/African_Pride_BCM_Heat_Spray_4oz__21927.jpg,Black Castor Miracle Anti-Humidity Heat Protectant Spray (4 oz.),African Pride,"<p><span>African Pride Black Castor Miracle products are designed to maintain &amp; detangle natural hair while moisturizing, hydrating, &amp; combating frizz. From protecting to sealing hair, our products were crafted with you in mind.</span>&nbsp;</p> <p><span>This <strong>Anti-Humidity Heat Protectant</strong> provides 400&deg;F heat protection and guards against heat damage. Specially crafted with a keratin complex, this lightweight formula blocks humidity, seals in shine and keeps hair straight for 2 weeks or until next wash day. Great for blow drying, flat-ironing, wand curls, silk presses, straigtening leave outs, weaves, &amp; edges.&nbsp;</span></p> <p><span><span style=""text-decoration: underline;""><strong>Featured Ingredients:</strong></span>&nbsp;</span></p> <ul> <li><span><span>Black Castor Oil: Nourishes scalp &amp; helps to promote hair growth</span></span></li> <li>Keratin complex:&nbsp;<span>Smooths the hair shaft and blocks frizz</span></li> </ul>",,/african-pride-black-castor-miracle-anti-humidity-heat-protectant-spray-4-oz/
African Pride Black Castor Miracle Hair & Scalp Sealing Oil (6 oz.),All,http://shop.naturallycurly.com/product_images/v/964/African_Pride_BCM_Sealing_Oil_6oz__19834.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/v/964/African_Pride_BCM_Sealing_Oil_6oz__19834.jpg,Black Castor Miracle Hair & Scalp Sealing Oil (6 oz.),African Pride,"<p><span>African Pride Black Castor Miracle products are designed to maintain &amp; detangle natural hair while moisturizing, hydrating, &amp; combating frizz. From protecting to sealing hair, our products were crafted with you in mind.</span>&nbsp;</p> <p><span>This <strong>Sealing Oil</strong> is specially crafted with a blend of Black Castor Oil, Tea Tree Oil and Soybean Oil to lock moisture into hair strands and improve moisture retention. Helps to condition hair, soothe scalp, calm itching and prevent dryness.&nbsp; Great for braids, crochets, edges, under weave care and protective styles.&nbsp;</span></p> <p><span><span style=""text-decoration: underline;""><strong>Featured Ingredients:</strong></span>&nbsp;</span></p> <ul> <li><span><span>Black Castor Oil: Nourishes scalp &amp; helps to promote hair growth</span></span></li> <li>Tea Tree Oil: Helps to treat, protect and condition scalp.</li> <li>Soybean Oil: Improves moisture retention and shine.</li> </ul>",,/african-pride-black-castor-miracle-hair-scalp-sealing-oil-6-oz/
African Pride Black Castor Miracle Prep & Leave-In Moisture Butter (8 oz.),All,http://shop.naturallycurly.com/product_images/o/678/African_Pride_BCM_Moisture_Butter_8oz__53527.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/o/678/African_Pride_BCM_Moisture_Butter_8oz__53527.jpg,Black Castor Miracle Prep & Leave-In Moisture Butter (8 oz.),African Pride,"<p><span>African Pride Black Castor Miracle products are designed to maintain &amp; detangle natural hair while moisturizing, hydrating, &amp; combating frizz. From protecting to sealing hair, our products were crafted with you in mind.</span>&nbsp;</p> <p><span>This <strong>Moisture Butter</strong> is specially crafted with a blend of Black Castor Oil, Shea Butter and Jojoba Oil to penetrate hair strands and deeply moisturize before braided, weaved or protective styles. Helps to prepare hair for extended styles by providing long-lasting hydration. Great before braids, crochets, weaves and protective styles.</span></p> <p><span><span style=""text-decoration: underline;""><strong>Featured Ingredients:</strong></span>&nbsp;</span></p> <ul> <li><span><span>Black Castor Oil: Nourishes scalp &amp; helps to promote hair growth</span></span></li> <li><span>Shea Butter:</span></li> <li><span>Jojoba Oil:</span></li> </ul>",,/african-pride-black-castor-miracle-prep-leave-in-moisture-butter-8-oz/
African Pride Black Castor Miracle Take Down Moisture & Detangling Masque (8 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/l/488/African_Pride_BCM_Masque_8oz__98082.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/l/488/African_Pride_BCM_Masque_8oz__98082.jpg,Black Castor Miracle Take Down Moisture & Detangling Masque (8 oz.),African Pride,"<p><span>African Pride Black Castor Miracle products are designed to maintain &amp; detangle natural hair while moisturizing, hydrating, &amp; combating frizz. From protecting to sealing hair, our products were crafted with you in mind.</span>&nbsp;</p> <p><span>This<strong> Moisture &amp; Detangling Masque</strong> softens, conditions and removes knots/ buildup from dry, tangled hair after braided, weaved and protective styles. Helps to prevent excessive breakage and shedding. Great after braids, crochets, weaves and protective styles.</span></p> <p><span><span style=""text-decoration: underline;""><strong>Featured Ingredients:</strong></span>&nbsp;</span></p> <ul> <li><span><span>Black Castor Oil: Nourishes scalp &amp; helps to promote hair growth</span></span></li> <li><span>Coconut Water: He<span>lps stimulate your scalp</span></span></li> </ul>",,/african-pride-black-castor-miracle-take-down-moisture-detangling-masque-8-oz/
"African Pride Black Castor Miracle Extra Hold Braid, Loc, & Twist Gel (8 oz.)","Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/u/337/African_Pride_BCM_Twist_Gel_8oz__05474.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/u/337/African_Pride_BCM_Twist_Gel_8oz__05474.jpg,"Black Castor Miracle Extra Hold Braid, Loc, & Twist Gel (8 oz.)",African Pride,"<p><span>African Pride Black Castor Miracle products are designed to maintain &amp; detangle natural hair while moisturizing, hydrating, &amp; combating frizz. From protecting to sealing hair, our products were crafted with you in mind.</span>&nbsp;</p> <p><span>This <strong>Extra Hold Braid, Loc, &amp; Twist Gel</strong> smooths frizz and flyaways while boosting shine for longer lasting styles. Leaves braids, locs and twists neat and smooth.</span></p> <p><span><span style=""text-decoration: underline;""><strong>Featured Ingredients:</strong></span>&nbsp;</span></p> <ul> <li><span><span>Black Castor Oil: Nourishes scalp &amp; helps to promote hair growth</span></span></li> <li><span>Coconut Oil:&nbsp;Conditions, hydrates &amp; helps repair</span></li> </ul>",,/african-pride-black-castor-miracle-extra-hold-braid-loc-twist-gel-8-oz/
African Pride Black Castor Miracle Hold & Cover Edges (2.25 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/t/457/African_Pride_BCM_Edge_Gel_2oz__66907.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/t/457/African_Pride_BCM_Edge_Gel_2oz__66907.jpg,Black Castor Miracle Hold & Cover Edges (2.25 oz.),African Pride,"<p><span>African Pride Black Castor Miracle products are designed to maintain &amp; detangle natural hair while moisturizing, hydrating, &amp; combating frizz. From protecting to sealing hair, our products were crafted with you in mind.</span>&nbsp;</p> <p><span>This <strong>Black Hold &amp; Cover Edge Gel</strong> slicks stubborn edges, temporarily covers gray &amp; fills in thinning areas.</span></p> <p><span><span style=""text-decoration: underline;""><strong>Featured Ingredients:</strong></span>&nbsp;</span></p> <ul> <li><span><span>Black Castor Oil: Nourishes scalp &amp; helps to promote hair growth</span></span></li> <li><span>Coconut Water: Helps stimulate your scalp</span></li> </ul>",,/african-pride-black-castor-miracle-hold-cover-edges-2-25-oz/
Africa's Best Textures Shea Butter Curls Curl Defining Cream (15 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/l/862/africas-best-shea-butter-curls__92901.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/l/862/africas-best-shea-butter-curls__92901.jpg,Textures Shea Butter Curls Curl Defining Cream (15 oz.),Africas Best Textures,"<p><span>Treat your hair to amazing definition &amp; softness, without the annoying frizz. Smooth it on, then gentle comb through and style.&nbsp; Great for wash and go curls or waves, twist-outs, braid-outs, protective styles, afros, and more.</span></p>",,/africas-best-textures-shea-butter-curls-curl-defining-cream-15-oz/
Africa's Best Textures Anti-Breakage Formula Coconut Growth Oil (8 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/m/878/africas-best-coconut-growth-oil__21750.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/m/878/africas-best-coconut-growth-oil__21750.jpg,Textures Anti-Breakage Formula Coconut Growth Oil (8 oz.),Africas Best Textures,"<p><span>This anti-dryness oil therapy can be used as often as needed to treat chronically dry hair, improve weak ends, and enhance growth.</span></p>",,/africas-best-textures-anti-breakage-formula-coconut-growth-oil-8-oz/
Africa's Best Textures Shea Butter Herbal Care Sulfate-Free Moisturizing & Conditioning Shampoo (12 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/j/192/africas-best-sulfate-free-shampoo__21386.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/j/192/africas-best-sulfate-free-shampoo__21386.jpg,Textures Shea Butter Herbal Care Sulfate-Free Moisturizing & Conditioning Shampoo (12 oz.),Africas Best Textures,<p><span>Thoroughly cleans without stripping hair of its natural oils. Made with Avocado &amp; Argan Oil.</span></p>,,/africas-best-textures-shea-butter-herbal-care-sulfate-free-moisturizing-conditioning-shampoo-12-oz/
Africa's Best Textures Shea Butter & Coconut Moisturizing Butter Creme (7.5 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/x/729/africas-best-moisturizing-butter-creme__23955.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/x/729/africas-best-moisturizing-butter-creme__23955.jpg,Textures Shea Butter & Coconut Moisturizing Butter Creme (7.5 oz.),Africas Best Textures,"<p><span>Mega hydration, and the Protective Styler&rsquo;s new BFF!&nbsp; Use this penetrating formula as a daily treatment, or as part of your style prep regimen. Helps to reduce frizzing, and seals and repairs split ends.&nbsp; Amazing protection and moisture therapy for protective styling.&nbsp;&nbsp;</span></p>",,/africas-best-textures-shea-butter-coconut-moisturizing-butter-creme-7-5-oz/
Africa's Best Textures Shea Butter Moisture Renew Deep Conditioner Treatment (12 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/r/199/africas-best-deep-moisture-conditioning-treatment__26910.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/r/199/africas-best-deep-moisture-conditioning-treatment__26910.jpg,Textures Shea Butter Moisture Renew Deep Conditioner Treatment (12 oz.),Africas Best Textures,"<p><span>Chronically dry, brittle, hard to manage hair has a new best friend!</span></p> <p><span>Moisture Renew Deep Moisture Conditioning Treatment coats and nourishes hair with ingredients know for helping to achieve stronger, softer, healthier hair. Enhanced with Shea Butter, Argan Oil, and Avocado, this intensive therapy helps replenish moisture, add shine, and restore manageability. Excellent fortifying remedy for dull, lifeless hair, and all hair types, especially 2a-4c textures.</span></p>",,/africas-best-textures-shea-butter-moisture-renew-deep-conditioner-treatment-12-oz/
Africa's Best Textures Ultra Smooth Edges (2.5 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/o/738/africas-best-ultra-smooth-edges__65803.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/o/738/africas-best-ultra-smooth-edges__65803.jpg,Textures Ultra Smooth Edges (2.5 oz.),Africas Best Textures,"<p><span>Ditch the tacky, stiff edges gel and enjoy the benefits of Argan Oil and Shea Butter to help smooth, protect and tame wiry edges. This anti-breakage formula CONTAINS NO ALCOHOL.</span></p>",,/africas-best-textures-ultra-smooth-edges-2-5-oz/
Africa's Best Textures Jamaican Black Castor & Argan Oil Natural Growth Oil (5 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/o/037/africas-best-jbc-argan-growth-oil__72874.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/o/037/africas-best-jbc-argan-growth-oil__72874.jpg,Textures Jamaican Black Castor & Argan Oil Natural Growth Oil (5 oz.),Africas Best Textures,"<p><span>Ultra-Penetrating blend revives fragile, dry, lifeless hair. Great scalp treatment.</span></p>",,/africas-best-textures-jamaican-black-castor-argan-oil-natural-growth-oil-5-oz/
